TransactionID,CardNumber,CardHolderName,ExpirationDate,TransactionDate,MerchantName,Category,Amount,Currency,Location,Status
ada6a1ad-7110-419e-a91b-60da96d8dc53,6011844129929985,Makayla Warren,04/32,2024-01-16 00:31:55,"Cannon, Wilkins and Sanders",Home Improvement,4389.08,USD,"Robertport, Pakistan",Completed
3c33d866-50e1-4c0a-ad3a-af68e4a42396,2446437168681429,Jennifer Becker DDS,03/30,2023-05-01 10:52:53,"Anderson, Roberts and Richardson",Entertainment,376.73,USD,"East Lucasbury, Liberia",Completed
5e040435-86b5-4276-b74e-b89fc31de653,4302611757342196849,Michael Bond,06/32,2022-03-21 08:54:50,Cummings Inc,Sports & Recreation,3377.12,USD,"Josephhaven, Palau",Pending
a4be0560-d5cb-4478-80d9-7c036090dd19,4610402626976670768,Logan Gonzales,08/30,2022-08-25 23:39:37,Brown LLC,Healthcare,1267.08,USD,"Sergiostad, Italy",Pending
24f25716-6450-4463-9afc-0ddff21c85b6,3511742603180970,Dr. Samuel Smith,10/28,2022-04-20 00:27:16,Kennedy and Sons,Groceries,2472.29,USD,"East Jillhaven, American Samoa",Declined
c8dbee0d-8ebd-446f-91b5-4e56fd035b3c,180037489378145,Michael Medina,03/29,2023-04-15 19:34:45,"Brown, Rogers and Mccormick",Clothing,1332.48,USD,"East Gloriabury, Western Sahara",Pending
76f9a0c6-c8d4-40a6-8195-43e5ec744aec,4689841179649204,Natasha Shelton,06/29,2022-07-19 18:56:38,Simmons-Lee,Entertainment,1974.63,USD,"West Samantha, Gambia",Pending
e5b48f37-bc13-4517-9076-c9cab0094fdd,2274573112074878,Lauren Stevenson,09/27,2024-01-23 13:35:27,"Johnson, Johnson and Rodriguez",Clothing,2227.53,USD,"Nathanville, Kiribati",Declined
d43cf1b1-6ad6-44f5-904a-d91ecf28632e,2702447258081793,Trevor Lee,03/31,2022-10-28 16:58:43,Taylor LLC,Home Improvement,4682.24,USD,"North Cheryl, Papua New Guinea",Pending
e6696458-aa3e-472a-9f52-5d008bbec92d,36328904680355,Todd Williams,05/33,2023-04-09 09:47:33,"Powers, Perez and Bryant",Gifts & Donations,1895.13,USD,"Davidstad, Gibraltar",Declined
0afc8b42-e0d0-4364-9af1-48beee9bbe94,501846056304,Marcus Sanchez,08/24,2023-03-16 00:34:58,Martinez Inc,Dining,81.79,USD,"Pearsonside, Albania",Pending
e68baf1a-05f0-41d7-8dde-7417b46f9626,373286583197094,Brian Moon,10/28,2022-10-26 20:08:54,"Johnson, Lambert and Ross",Utilities,3204.24,USD,"New Lisaton, South Africa",Completed
9cd6245b-49f0-4274-a23c-ca9aa5609958,4760963039093878,Virginia Winters,11/32,2023-03-13 19:35:30,"Bradford, Evans and Santana",Home Improvement,3141.21,USD,"West Scott, Equatorial Guinea",Completed
c935a65c-8e04-4dae-892a-22c7721b8e65,588202297291,Cheryl Bailey,03/25,2023-10-05 16:45:33,"Thompson, Barnes and Oconnor",Groceries,287.27,USD,"Lopezfurt, Palestinian Territory",Pending
f2489b2f-10d0-4806-a4c0-43d1d7d149be,2720169920098835,Anthony Velazquez,10/33,2023-08-03 05:29:50,Rodriguez Inc,Electronics,3703.61,USD,"Rioshaven, Bahamas",Completed
608c8ba5-fe11-44c6-beed-5c21a547615e,180062454374440,Robin Gibson,04/26,2023-02-21 22:49:18,Keller-Larson,Education,573.45,USD,"Kathleenport, Saint Martin",Declined
2fb31520-eb22-47ef-b62b-aa142e11085e,180098937695209,Patrick James,11/32,2022-06-09 23:44:44,Thomas Inc,Groceries,1813.19,USD,"Alisonview, Korea",Pending
a26cdb6b-300b-4f7c-8259-d5100c20d9cb,3558200247185842,Angela Hoffman,04/26,2023-05-30 13:17:21,Decker Ltd,Gifts & Donations,3940.82,USD,"South Robertberg, Syrian Arab Republic",Completed
12d826bc-38f1-4e94-8ffc-57ac38b881ac,4554844716283943,Philip Hernandez,02/25,2023-07-09 17:33:06,Neal-Clark,Groceries,1320.55,USD,"Halltown, French Guiana",Pending
eb04641b-6bf1-480b-81a1-6b1b5600bbe1,4361014424527725,Cory Carter,12/27,2022-09-27 16:34:59,Thomas Ltd,Services,2197.62,USD,"Michaelbury, Bolivia",Pending
0e5bc941-52df-4ee9-8c33-95d3e70df270,4940805514832234,James Hamilton,08/28,2023-02-01 23:42:37,Blackwell-Nguyen,Clothing,4831.18,USD,"Lake Christina, Czech Republic",Completed
fcfb7514-62b9-49e8-ab62-aa07f40eb52d,2250247770017853,Dr. Katherine Henry,11/28,2022-06-19 12:05:34,Hart and Sons,Utilities,2247.48,USD,"Davidmouth, Pakistan",Pending
adef0251-39f3-4ba8-9c68-6b64aa9ba100,676390082862,Charles Kim,09/28,2023-12-22 13:45:24,Elliott Ltd,Services,3305.47,USD,"Maloneborough, Uzbekistan",Pending
db66b1a3-205a-4d12-9fc7-536621aecd06,4071819220503279,Andrea Frey,04/32,2024-01-20 01:00:51,Deleon-Hall,Sports & Recreation,4406.44,USD,"Bryantborough, Thailand",Pending
420b9cd8-c91f-4b80-ae6c-1a5d9fa75419,6011891080489822,Alicia Miller,10/32,2022-09-19 10:26:40,Wilkins Ltd,Electronics,3827.41,USD,"West Ralphborough, Greece",Completed
f7614679-7f62-41fc-aa2c-322dc6b3f36c,3557509296295380,Joseph Sanders,05/30,2022-09-14 19:46:29,Weaver-Gonzales,Automotive,4416.62,USD,"West Brandy, Madagascar",Completed
1801623b-f69b-48b9-9a0e-695bea773206,6011270168346743,Brandon Padilla,07/29,2023-12-12 03:31:20,Cervantes-Moore,Gifts & Donations,137.56,USD,"Laurafurt, Equatorial Guinea",Declined
93e82f56-4fe8-48f4-802d-812a4883600f,375471036356962,Kristen Dennis,05/24,2022-03-19 02:47:44,Wilkerson Ltd,Groceries,532.53,USD,"North David, French Polynesia",Pending
73ef4f78-3642-4821-a6b7-0c2ebf97b9c3,4391776884260385,Megan Barr,02/25,2022-06-27 08:04:00,"Boyd, Rivera and Perry",Electronics,1686.64,USD,"Caldwellton, Puerto Rico",Declined
fa6957e1-6f81-4c7d-867f-108b0a461951,3571915034301160,Debbie May,04/26,2023-02-05 17:43:08,"Miller, Jimenez and Fleming",Online Shopping,4684.65,USD,"Martinezmouth, Saint Barthelemy",Completed
0045ec54-8683-4bdd-a82b-feb17fdc24c2,3511703832103324,Timothy Fox,11/31,2023-12-11 04:41:43,"Olson, Arroyo and Lee",Travel,1652.66,USD,"South Brucetown, Belarus",Pending
b78e8e35-2ad4-4ed2-bc03-afba07ab33dd,342207635505660,Kimberly Harris,03/24,2023-12-03 17:26:31,"Becker, Murray and Wood",Groceries,4418.94,USD,"Reedtown, Vietnam",Completed
85139108-2452-4167-be28-9c3b15909b1b,4821136599135069,Krista Turner,03/28,2022-03-31 00:56:01,Allen PLC,Online Shopping,743.77,USD,"Lake Janet, Guernsey",Declined
f21bdd8b-fae3-41b4-9c0c-6ba79bb807d1,4964720568163108,Sharon David,03/27,2022-07-11 20:08:51,"Reilly, Kline and Hudson",Dining,3766.84,USD,"Kevinmouth, Venezuela",Declined
72bae522-4ea9-4c21-8857-ac098a0c9797,6011046452582262,Sandra Andrews,08/25,2023-01-17 20:07:02,"Fernandez, Evans and Willis",Travel,697.35,USD,"Port James, Grenada",Declined
6457d2e2-d6fa-4816-943b-7dddd900bd78,374712634330235,Albert Williamson,08/33,2022-09-03 09:57:50,Farmer-Boyd,Online Shopping,2575.96,USD,"New Sarahland, Congo",Completed
73180a25-ec28-4b9d-9c19-7ff873a1b3cb,30377350286874,Brian Patel,12/28,2023-06-05 01:42:34,Padilla-Baker,Services,2787.86,USD,"Tinafort, Netherlands",Pending
04a49399-bab6-46e9-8380-e27153e53adb,3573935258070547,Lisa Perry,04/24,2023-10-10 19:20:38,Hernandez-Hebert,Utilities,2545.69,USD,"Onealburgh, United Arab Emirates",Declined
b7e46378-b3c1-4c9f-ab43-7f7202416191,3573444513975798,Shawn Morgan,02/29,2023-04-25 16:29:14,Smith-Thompson,Clothing,2929.8,USD,"Austinborough, Northern Mariana Islands",Pending
49a7c78f-f587-401b-9f04-74c48f388462,373978396903656,Mike Rodriguez,10/30,2023-02-17 12:42:00,Woods Ltd,Entertainment,2823.56,USD,"Hawkinsport, Aruba",Pending
452b179f-07b8-4b11-9655-3a1fe45f384e,4051514629170513331,Stephen Carter,09/31,2023-07-17 11:04:47,"Hall, Kline and Bennett",Services,572.47,USD,"North Johnburgh, San Marino",Declined
f7833362-3aac-4ef1-9eb0-db73cd1bc069,567724762644,Jeffrey Lawson,09/24,2023-08-18 07:35:47,"Cohen, Taylor and Jones",Automotive,3782.58,USD,"New Rachaelport, Liberia",Declined
1eec1266-303e-4528-ade4-ff0a4189ee86,4927709318798145,Jo Daniels,01/34,2022-11-01 15:11:22,Mcdaniel-Payne,Automotive,4986.96,USD,"New Charles, Lao People's Democratic Republic",Pending
6410f702-64b5-441d-9537-097ec9584fb7,639025154373,Megan Patterson,08/33,2023-01-02 21:40:02,Moore-Thomas,Services,2081.58,USD,"Staceymouth, Dominican Republic",Declined
8350ec70-7e1a-4ae1-a1c3-7cdfdf80d7aa,349548813360714,Aimee Gilbert,08/26,2023-08-22 12:37:06,"Mcconnell, Grimes and Andrade",Automotive,4401.94,USD,"Lake Jennifer, Armenia",Completed
f58492d2-427e-4269-a0bb-c9acb3fc37fa,375420200511142,Thomas Young,01/26,2024-01-26 06:50:40,Mccarthy-Simmons,Online Shopping,3516.29,USD,"West Jerry, Aruba",Declined
bbae1bd4-ec76-4c19-89e5-72799c951b6d,4150159541679867938,Stuart Rodriguez,04/29,2023-05-23 10:03:33,"Stone, Warren and Rosales",Healthcare,3245.24,USD,"Daleland, Gabon",Declined
d1c81446-a2ef-4e73-a22d-626a160dfd4d,6011965312217613,Craig Lewis,08/28,2023-08-03 20:42:46,"Hall, Lee and Savage",Gifts & Donations,3386.12,USD,"North Rebeccaburgh, Fiji",Completed
7ab6feb6-3ee9-4b6b-8f0b-f22d82e9ee7a,347182054285398,Michelle Adams,11/28,2022-04-28 20:57:13,Peters Inc,Utilities,4052.41,USD,"Stephaniechester, Chile",Completed
790d6dd1-f1e6-41f5-9ef2-26aabc1ac84b,5598248120995099,Charles Dean,06/30,2024-02-04 17:05:22,"Spence, Ramirez and Ray",Clothing,3212.16,USD,"Bryantburgh, Uzbekistan",Pending
7f94d348-ec10-4f5b-a14d-92056b822a66,4731031550433,James Davis,02/24,2022-05-22 16:13:16,"Valencia, Peterson and Edwards",Dining,1107.83,USD,"Welchfurt, Poland",Pending
be7bf2cb-4bc7-4afd-ae06-a35fe922ed1c,6011523296648871,Jonathon Lewis,07/27,2023-02-24 00:20:15,Greer-Mcmillan,Groceries,4301.71,USD,"Lake Michael, United States Minor Outlying Islands",Declined
0f47d4f2-441c-43f9-892c-26da5d40ee99,4916870216984865,Keith Miller,03/27,2023-08-16 07:43:05,Terry-Cortez,Clothing,1759.88,USD,"Grayshire, Japan",Completed
da8fa6d5-785a-461b-8389-612fbe2bbec4,4781775175754181240,Dennis Lee,01/32,2023-01-03 21:27:20,Williams LLC,Entertainment,3678.82,USD,"Roberttown, Equatorial Guinea",Pending
aeb514d7-de7b-4592-a9c0-7ce65d6b05e5,3580639639782108,Andrew Blake,08/28,2022-11-29 08:12:29,Brown-Thomas,Entertainment,1258.62,USD,"Clarktown, Brunei Darussalam",Completed
1dc38529-eb80-4524-bf69-cef19b6e9692,180050954226798,Amy Brown,08/25,2023-02-07 09:30:00,Roberson-Torres,Services,2057.72,USD,"East Mary, Korea",Declined
4086c831-7359-4b65-8e7b-f2ba4ac54aa8,4247528263502077,Dylan Miller,10/27,2022-08-08 03:03:12,Brock-Pugh,Dining,3331.19,USD,"Colemouth, Korea",Completed
9eb8c735-1dcc-422e-8e60-b31faa79446b,676192650932,Vanessa Stevens,08/29,2022-05-29 02:01:43,Blanchard-Roberson,Entertainment,4561.33,USD,"Reedburgh, Serbia",Pending
87c97b3e-7f05-4bb1-a294-66838480ddd6,6011317163011838,Kristen Moon,02/30,2023-01-02 03:56:51,Melton PLC,Online Shopping,4942.77,USD,"Kimberlyview, Morocco",Completed
0b5ae84e-cfa0-4b59-af06-1484de1f3a7c,4876620914609431,Margaret Garner,01/25,2023-08-16 22:14:35,"Baker, Jones and Fields",Online Shopping,3035.0,USD,"East Vincenthaven, Guinea-Bissau",Completed
c68657c8-1ff1-42b1-989e-6278c6bfb161,3576102487802417,Victor Baker,04/33,2022-09-15 13:01:25,Martinez Group,Clothing,2493.34,USD,"South James, Ireland",Pending
6f602012-6fec-4b2a-b9b7-d012950d05d1,6011006242387711,Meredith Lucas,08/31,2022-02-22 11:15:57,Golden-Baker,Groceries,2160.06,USD,"Michaelbury, Cuba",Completed
5b27ba69-68d9-45a7-8930-4e0a1168f297,30194866266047,Mark Clark,11/32,2022-07-27 12:36:03,"Maldonado, Butler and Chan",Clothing,4388.95,USD,"Brandonport, Saint Lucia",Pending
f96352f2-66a5-40a7-b1a9-2b6408343eac,503859409685,Susan Parker,09/29,2023-03-29 15:07:19,Miranda Inc,Travel,294.54,USD,"North Christian, Congo",Completed
e343cb80-01a3-4d91-856a-af28001559a0,38600320856407,Derek Lewis,12/27,2022-10-23 11:57:31,"Mathews, Rose and Nicholson",Travel,1682.06,USD,"West Andrea, Egypt",Pending
95d1f69b-c717-43bc-8eb1-fe1c6271a304,4947138215712248142,Mathew Carroll,05/32,2023-11-11 22:41:22,Roberts Inc,Education,3211.47,USD,"Whitehaven, Kazakhstan",Completed
9938702f-11fb-4509-8d71-ec32a4cff43d,3591678993164344,Jessica Green,12/29,2022-10-13 13:35:45,"Reed, Doyle and Brown",Groceries,3995.95,USD,"Meganshire, Zimbabwe",Completed
246b9320-fa0b-4cd3-a732-6713960c8d36,30223983220668,Franklin Peck,04/32,2022-08-05 17:03:02,Casey Group,Dining,2924.41,USD,"Tiffanytown, Aruba",Completed
329e636c-0f1d-4d13-869a-cf3979d0f910,213115407611036,Courtney Rice,11/25,2024-01-12 17:09:05,Wilson-Walker,Education,4248.06,USD,"West Lauraville, Uganda",Declined
68e63e7e-5ba3-480f-b03a-d2b024315a2e,213179958693991,Diane Kramer,06/30,2022-03-30 23:46:42,Bennett PLC,Electronics,1375.26,USD,"South Josephview, Taiwan",Declined
c95cf4b9-a615-45c7-b7ba-b17d220cb491,502049435659,Brandi Moore,04/24,2022-06-06 07:42:54,Johnson-Blankenship,Online Shopping,2232.11,USD,"Angelaside, Thailand",Pending
01f49acf-ea0f-4214-848b-e5a9511baf21,630422212351,Melissa Garcia,07/29,2023-01-31 15:43:30,Contreras LLC,Utilities,2513.3,USD,"Sethfurt, Spain",Pending
54edad71-dd6b-4f9d-aed6-d4746381a0af,630483448613,Robert Mack,08/26,2023-12-28 19:57:25,Wells LLC,Electronics,693.06,USD,"Thomasside, Lao People's Democratic Republic",Declined
35b02dc7-2d9d-47dd-a91c-db24070df069,4714035480393,Veronica King,03/31,2022-05-02 20:45:28,"Greer, Estrada and Williamson",Sports & Recreation,3625.55,USD,"Davisview, Saudi Arabia",Pending
1d957ffa-5bcd-42b6-8784-0580209ee4e3,30451275301348,Alan Davis,06/32,2023-06-02 15:00:00,"Simmons, David and Wallace",Online Shopping,2614.17,USD,"Myersfort, Netherlands Antilles",Pending
1584eddd-705b-45b5-9be9-62ed55371cd8,4355588587123461758,Richard Greene,05/30,2022-05-08 04:48:51,Brooks-Mathis,Electronics,4061.26,USD,"Hansonstad, Vanuatu",Completed
cce29a02-1c13-425f-8b7f-645334c3f1a2,6011183513288181,Derek Gutierrez,04/27,2024-01-10 11:19:21,Anderson PLC,Gifts & Donations,1920.81,USD,"Bryantport, Svalbard & Jan Mayen Islands",Declined
e92ea72e-d42f-4ed9-ab89-5154bdd4503e,3563124066359663,Robert Mccann,01/27,2022-09-25 06:06:37,Rodriguez LLC,Online Shopping,1811.43,USD,"Campbellstad, Lebanon",Pending
579bdaef-87cb-4018-9d17-08beb442f183,3521039038239325,Donna Mckinney,10/28,2023-06-18 19:02:38,Brooks-Lewis,Gifts & Donations,3697.54,USD,"Davidstad, Afghanistan",Completed
6eb4b7e9-fb35-436f-90d4-a94052ffb138,3593074642877361,Deborah Costa,06/25,2022-08-26 02:20:20,Dyer-Spencer,Electronics,3827.46,USD,"East Krystal, Christmas Island",Completed
80cab5df-6f27-4744-8eb7-ace5a60ecbe4,6011739784708775,Alex Walter,05/24,2022-05-03 07:06:50,"Gross, Holland and Hebert",Clothing,1123.76,USD,"Lake Johnathan, Namibia",Completed
d206ede1-3c06-4e3f-824e-0c75639ad219,4974166012486,Roger Wilson,06/31,2023-11-22 17:36:04,Villarreal-Grimes,Utilities,4005.5,USD,"New Dwaynetown, Sudan",Pending
d4bda0e1-d69f-4210-ba97-21aa4b22c6dc,2222396794926915,Rachel Roman,05/29,2024-01-06 16:11:22,"Craig, Ward and Miller",Online Shopping,2503.45,USD,"West Davidville, Iran",Declined
0461d31d-36fd-4bbb-b4c1-23b24b23818b,4935778034701956,Elizabeth Hall,04/33,2023-10-17 01:12:39,"Fox, Chapman and Smith",Automotive,3027.08,USD,"Karenside, Myanmar",Declined
46f8ad70-041c-461a-aa83-0c0283245bc5,2265980506643666,Pamela Rhodes,01/29,2023-05-18 20:31:28,Owens-Thompson,Home Improvement,554.24,USD,"Christybury, Libyan Arab Jamahiriya",Declined
f0215e88-ae12-40b5-b6a6-cff9b181c90a,4688490677060488384,John Clark,09/25,2023-12-28 20:10:19,Frank Inc,Clothing,2186.04,USD,"New Heidifurt, Jordan",Pending
cecc490f-6d8f-4722-8b86-18bb100d4e49,30518224368477,Caleb Smith,12/32,2023-12-08 10:08:11,Valdez Group,Home Improvement,1277.87,USD,"West Christopherton, Finland",Declined
f9629c85-f99b-422d-a65f-16313a344ce8,3568263999170394,Samuel Bryant,01/31,2022-12-07 12:52:29,Robertson LLC,Education,4442.86,USD,"North Martha, Macedonia",Declined
3f37389c-1bc3-4835-8365-d66b439ca18c,502087623703,Lisa Reed,04/24,2022-11-11 07:10:07,"Medina, Hernandez and Carpenter",Clothing,4350.85,USD,"New Melissa, Lao People's Democratic Republic",Declined
2bed0062-403d-4918-acdc-125819b2c6a7,213145754341523,Lisa Haynes,08/26,2024-01-11 06:18:37,Pena Ltd,Travel,374.25,USD,"Timothyberg, Denmark",Declined
09c7723b-262c-4877-87f3-ae026a4e0aee,36140140306491,Jennifer Ortega,11/27,2023-08-16 07:47:51,Lara and Sons,Electronics,839.48,USD,"New Edwardfurt, Guatemala",Pending
5ea2d1c6-a6d0-496c-8fc3-c9b037109d41,569239266566,Jonathon Brooks,09/33,2024-01-27 09:12:06,Gentry and Sons,Healthcare,2623.24,USD,"Colemanhaven, Jersey",Completed
1c0e61cc-b192-4852-92ea-a72e1b29891a,4719563588913,Daniel Gray,05/31,2023-01-12 02:06:38,"Jones, Medina and Evans",Services,2009.3,USD,"South Paul, Gabon",Pending
654443cc-ccbf-4e1b-aa71-ea30c7c4ec11,4698886060182,Kendra Miller,11/31,2022-09-05 19:33:54,"Fisher, Travis and Garcia",Home Improvement,3748.43,USD,"Langchester, Ghana",Completed
214c2d60-f039-4be5-93d9-4b145a824abb,4602466987650857,Rachel Clements,12/33,2022-12-01 16:43:05,Burnett-Harrison,Online Shopping,4710.14,USD,"Yoderville, Falkland Islands (Malvinas)",Declined
e290743c-dc69-415d-a882-befc14c22eec,3556139728027937,Chad Sanford,09/26,2023-01-10 15:28:27,Becker Inc,Sports & Recreation,153.38,USD,"Lopezstad, United States of America",Completed
405d3485-4767-43bb-ab14-eeccd9388201,346837415304920,Mrs. Terri Evans,12/30,2022-03-12 01:03:45,Reyes Group,Automotive,4945.92,USD,"North Kathleenhaven, Japan",Declined
07965016-8380-405a-a679-5a0eb2f7efeb,3572618240849985,Travis Lopez,07/25,2023-08-01 05:25:25,Salazar-Brown,Sports & Recreation,4761.19,USD,"Craigview, Reunion",Pending
d4f83957-1e04-43f9-b5ca-a4c1ef937a21,4417229445196095784,Luis Martinez,04/29,2023-02-11 11:21:53,Barnes-Dennis,Groceries,3224.46,USD,"Greenmouth, Barbados",Completed
e7a4622a-cb81-46d0-935b-be965a0c5376,213135782125048,Micheal Everett,10/30,2023-10-10 04:11:27,Torres-Yates,Travel,4615.84,USD,"Ricardohaven, Algeria",Completed
4ebcf00e-1cec-4bfc-a7df-361c4fbaec74,6571316537653731,Carolyn Rodriguez,05/26,2023-04-04 15:13:19,Anderson Group,Automotive,2783.62,USD,"East Donaldside, Northern Mariana Islands",Completed
7e5e530a-dde7-4a2d-9f14-2a092c5389d0,4116799795039429,Kyle Brooks,08/26,2022-08-18 19:20:18,Lamb Inc,Clothing,2199.57,USD,"East Paulhaven, Netherlands Antilles",Pending
805aa495-57bf-438f-add8-6dde19e4c026,3523910524764497,Stacey Pennington,02/32,2023-01-05 03:26:54,Obrien-Gonzalez,Gifts & Donations,1236.9,USD,"Markmouth, Bouvet Island (Bouvetoya)",Completed
a0a710ae-58d0-48e4-b702-0cf8acf1e058,30328350443361,Emily Thompson,12/33,2023-09-29 11:11:46,Smith-Kelly,Clothing,3700.12,USD,"Brianborough, Cuba",Pending
30d8778e-07b5-42a2-a09c-0efdf6c30c78,213175438307673,Alexander Mccarthy,06/32,2022-02-23 11:07:18,"Young, Cruz and Clarke",Gifts & Donations,1612.12,USD,"West Coreyhaven, Saint Barthelemy",Pending
0a0210b9-953a-4293-9fcd-17d3b2670cd3,3568589621582469,Angel Lambert,04/27,2022-12-18 15:47:26,Walton-Obrien,Groceries,2021.64,USD,"Jacquelineport, Switzerland",Declined
401ecd6d-8c39-470d-8fad-d66d4e268470,3577317392096041,Brian Jackson,05/29,2023-11-13 18:52:04,Gross-Johnson,Dining,3264.74,USD,"Jillmouth, Rwanda",Completed
3614c147-32ea-44e0-ba6f-85dbcf7bf25b,4605096252623653791,Dylan Stewart,01/34,2024-02-04 06:19:24,Davis-Turner,Entertainment,1857.66,USD,"North Patrickfurt, Suriname",Completed
ac777908-407e-4286-9c6f-ba281a66c808,4581019608079,Leah Gonzales,03/28,2022-12-04 16:22:48,Valdez-Carpenter,Online Shopping,380.67,USD,"Morafurt, Zimbabwe",Declined
edec6d02-31e6-4f62-a94b-c6d5a102e226,4570493766157856921,William Rios,10/24,2022-03-08 09:57:25,Ward-Scott,Online Shopping,2011.68,USD,"Hopkinsshire, Ecuador",Completed
ed4ca259-11ba-4786-b81f-1db139e7ee03,180097841570383,Nicole Sellers,11/29,2022-11-14 12:01:27,"Rowe, Patton and Turner",Healthcare,3973.78,USD,"New Annettehaven, Bhutan",Pending
32fea1fc-ec1e-4ad4-bc32-38245c6df1af,502085434582,Chad Walters,07/33,2022-10-31 21:40:07,"Black, Medina and Morton",Groceries,2018.07,USD,"South Whitney, Swaziland",Pending
75d27e8a-0ac4-4db4-ae06-c14612aab792,3560049289290457,Michael Baker,11/26,2023-10-18 04:12:20,Weber-Brown,Education,2675.24,USD,"Morrisshire, Christmas Island",Declined
490ba060-7518-43d8-9c7e-383d2c04e281,4862173831677145,Brian Webb,10/30,2023-07-17 08:40:08,Miller-Hudson,Home Improvement,3638.78,USD,"Elizabethhaven, French Polynesia",Declined
23c85ae1-1fe5-4860-bafc-e561704883ae,4895925518713,Jose Romero,11/26,2022-12-31 01:09:53,"Perry, Vazquez and Monroe",Dining,2123.96,USD,"New Michele, El Salvador",Declined
867c33e6-c7ac-4457-8d02-3ce03ad89338,345018859035350,James Bray,04/29,2022-12-24 00:57:44,"Miller, Lawson and Diaz",Entertainment,582.87,USD,"West Stephenville, Micronesia",Declined
4a0ca212-94bc-4c91-bdb0-0122048f64c4,3509961013418846,Andrew Robinson,08/33,2022-06-09 12:50:58,Poole Inc,Online Shopping,287.73,USD,"Caseyville, China",Declined
5e33bfd1-dc43-4b54-8177-b755ec159f05,4043864034035949,Paul Chapman,11/25,2022-12-05 12:32:17,Reyes Ltd,Services,3416.87,USD,"Walkerport, Northern Mariana Islands",Pending
30acbf4f-a2f5-4ae6-9d69-bd16f021371a,6519629725025305,Stephanie Arnold,02/25,2023-05-01 21:56:54,Buck Inc,Online Shopping,3708.0,USD,"South Ashleychester, Ukraine",Completed
0e201b83-6283-4330-a772-2ef8fd550c5e,675983471920,Morgan Robertson,05/30,2023-01-13 05:56:05,Lee-Carey,Services,1453.87,USD,"Davisland, Netherlands Antilles",Declined
9cb255f8-0c74-4a8f-9dfb-7976f7119072,4475758412011869,Emily Castillo,11/30,2022-10-07 16:50:21,"Simmons, Fritz and Dunn",Entertainment,1087.01,USD,"New Taylor, Lebanon",Pending
